Question,Count,Sentiment,Sect
This course improved my ability to critically consume analytical information.,60,Strongly Agree,Randomly Sectioned
This course improved my ability to critically consume analytical information.,134,Agree,Randomly Sectioned
This course improved my ability to critically consume analytical information.,21,Neutral,Randomly Sectioned
This course improved my ability to critically consume analytical information.,4,Disagree,Randomly Sectioned
This course improved my ability to critically consume analytical information.,2,Strongly Disagree,Randomly Sectioned
This course improved my ability to critically consume analytical information.,48,Strongly Agree,Sectioned by Ability
This course improved my ability to critically consume analytical information.,112,Agree,Sectioned by Ability
This course improved my ability to critically consume analytical information.,21,Neutral,Sectioned by Ability
This course improved my ability to critically consume analytical information.,8,Disagree,Sectioned by Ability
This course improved my ability to critically consume analytical information.,1,Strongly Disagree,Sectioned by Ability
WebAssign was a helpful tool that facilitated my learning in this course.,34,Strongly Agree,Randomly Sectioned
WebAssign was a helpful tool that facilitated my learning in this course.,51,Agree,Randomly Sectioned
WebAssign was a helpful tool that facilitated my learning in this course.,53,Neutral,Randomly Sectioned
WebAssign was a helpful tool that facilitated my learning in this course.,42,Disagree,Randomly Sectioned
WebAssign was a helpful tool that facilitated my learning in this course.,41,Strongly Disagree,Randomly Sectioned
WebAssign was a helpful tool that facilitated my learning in this course.,27,Strongly Agree,Sectioned by Ability
WebAssign was a helpful tool that facilitated my learning in this course.,57,Agree,Sectioned by Ability
WebAssign was a helpful tool that facilitated my learning in this course.,32,Neutral,Sectioned by Ability
WebAssign was a helpful tool that facilitated my learning in this course.,28,Disagree,Sectioned by Ability
WebAssign was a helpful tool that facilitated my learning in this course.,46,Strongly Disagree,Sectioned by Ability
The Problem Solving Labs were value added to the course and assisted me in learning the material,42,Strongly Agree,Randomly Sectioned
The Problem Solving Labs were value added to the course and assisted me in learning the material,109,Agree,Randomly Sectioned
The Problem Solving Labs were value added to the course and assisted me in learning the material,47,Neutral,Randomly Sectioned
The Problem Solving Labs were value added to the course and assisted me in learning the material,17,Disagree,Randomly Sectioned
The Problem Solving Labs were value added to the course and assisted me in learning the material,6,Strongly Disagree,Randomly Sectioned
